id,protein,gene_symbols
21,B4DL04;A0A024QZA8;P29317;Q96HF4,EPHA2
22,A0A024QZB5;Q9BWN1;Q96D88;A0A024QZF0,MGC3121;PRR14
23,A0A024QZC1;O95400;Q5QTR6,CD2BP2
24,Q0QEW2;G3V203;H0YHA7;A0A024QZD1;J3QQ67;Q07020;F8VYV2;B4DDY5;A0A075B7A0;F8VUA6,RPL18
25,A8KAQ5;A0A024QZD5;P08621,SNRP70;SNRNP70
26,B2RDP4;A8K1I4;A0A024QZD9;Q96K58,ZNF668
27,A0A024QZF1;P37198;M0QXN5,hCG_19665;NUP62
28,A0A024QZH6;Q9H7N4,SR-A1;SCAF1
29,M0R073;M0QYA8;A0A024QZI4;Q8IV63;M0QX88;M0R200;M0QYG0;B4E0U5,VRK3
30,B4DG62;A8K7J7;A0A024QZK7;Q59FD4;B3KXY9;P19367;B3KRA9,HK1
31,A0A024QZK8;P31942;Q53F48;A0A024QZP1;B4DHY1,HNRPH3;HNRNPH3
32,A0A024QZM6;P53992;B4DSN3;G5EA31,SEC24C
33,Q8WXX5;A0A024QZN2,DNAJC9;hCG_2024613
34,A0A384NYN5;A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9,VCL;HEL114
35,A0A024QZN5;A0A024QZJ1;B4DP12;O95229,ZWINT
36,A0A024QZN6;Q9ULJ6;F6WR09;D4YW76,RAI17;ZMIZ1;TRAFIP10
37,A8K9U4;A0A024QZN8;Q5GLZ8,HERC4
38,A0A024QZT0;A0A024QZN9;P45880;B4DKM5;A0A0A0MR02;Q5JSD2;Q5JSD1,VDAC2
39,A0A024QZP6;Q9P0M6;Q9HA11;Q5SQT3,H2AFY2
40,A0A024QZP7;Q5H9N4;P06493;A0A087WZZ9;I6L9I5;E5RIU6;A0A024QZJ8,CDC2;DKFZp686L20222;CDK1
41,A0A024QZQ1;Q96EB6;A8K128;B0QZ35;E9PC49;B3KNK3;I1Y8W7,SIRT1
42,A0A024QZR3;B3KPC1;Q9BRX2,hCG_2002731;PELO
43,Q8NDP0;A0A024QZR5;Q9Y2T2;B4DRN6,DKFZp586G1518;AP3M1
44,B3KPN7;A0A024QZT2;Q96KP1,EXOC2
45,Q92766;A0A024QZU8;C9JU34,RREB1
46,A0A024QZV0;Q86UY0;Q6EHZ3;Q658S9;Q8NBS9,hCG_1811539;TXNDC5;STRF8;DKFZp666I134
47,Q9UMY1;A0A024QZW2;H7C2B1,NOL7
48,A0A024QZW3;Q96S59;O60738;A0A024R014,RANBP9
49,A0A024QZW7;P49790,NUP153
50,A0A024QZX3;A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7;A0A2R8YD12;Q8IXH2,SERPINB6
51,B2R7M3;A0A024QZY1;Q13155;A8MU58,JTV1;AIMP2
52,A0A024QZY5;Q13523;B4DZQ5;H0YDJ3,PRPF4B
53,E2QRF9;Q53GD9;A0A024QZY7;O75496;H7C608,GMNN
54,A0A024R029;Q9ULW3,ABT1
55,B2RAW0;A0A024R036;P98082;B4DNN1,DAB2
56,A0A024R046;O00479,HMGN4
57,B4DHK6;A0A024R069;A0A0A0MTL5;Q13309,SKP2
58,B4DLT2;A0A024R071;O75694;E9PF10,NUP155
59,Q5TA45;A0A024R0F2;A0A024R073;Q96HV7;A0A087WYI0;C9IYS7;C9J979;J3QRY6,CPSF3L
60,Q2NKW8;A0A024R0A8;V5YQL4;O43865,AHCYL1;FGFR2-AHCYL1
61,Q2TB59;A0A024R0C3;Q13423;D6RAI5;D6RHU2;E9PCX7,NNT
62,A0A024R0C7;Q9P2B4,CTTNBP2NL
63,Q9GZV0;A0A024R0K2;A0A024R0E2;O75534;Q96L66;E9PLT0;Q9UG93,CSDE1;UNR;DKFZp586J0620
64,A0A024R0E5;A8K0T9;P52907,CAPZA1
65,A0A024R0F6;Q9UPN9;H0Y612,TRIM33
66,A0A024R0G0;Q96S66;A0A024R095,CLCC1
67,A0A024R0H6;Q8N7H5;B4DGJ5,PAF1
68,A0A024R0H7;Q9BQA1;H0Y711,WDR77
69,E9PQH6;Q5JR08;A0A024R0I3;P08134;Q5JR07;Q5JR05;Q5JR06;E9PN11;U3KQA9;U3KQV3;E9PLA2,RHOC;hCG_2043376
70,Q0VAB1;A0A024R0M6;Q3ZCQ8,TIMM50
71,A0A024R0Q4;Q8IV08;B4DEL6,PLD3
72,K7ES46;A0A024R0Q6;P07992;K7EP14,ERCC1
73,Q9BPW0;H0YDU8;Q53FR0;A0A024R0Q7;P53041;B4DLP6;B4DDZ8;B2R6R6;A8MU39,PPP5C
74,A0A2X0SFA4;A0A024R0R1;M0QZR4;Q92888;Q8NF33,ARHGEF1;FLJ00369
75,A0A024R0R4;Q9UBE0;M0QZS6;B3KNJ4;M0QX65,SAE1
76,B7Z6F7;A0A024R0R6;Q92797;A0A087WUE9;Q4LE61,SYMPK;SYMPK variant protein
77,A0A024R0R9;P54920;M0R0Y2;M0R2M1,NAPA
78,A0A024R0S6;Q9NZN4;B4DLA1;Q8NCJ3;B3KUH4,EHD2
79,A0A024R0S8;Q59HH7;F5H8D7;P18887;B2RCY5;B4DTD3;B4DEB2;M0QYS5,XRCC1
80,A0A0S2Z4N8;A0A024R0V4;P50552;A0A0S2Z4I9;A0A0S2Z4I7,VASP
81,A0A024R3Q3;A0A024R0Y6;P84077;P61204;F5H423;B4DEB9;F5H0C7;B4DJC8;B4DN70;B4E190,ARF1;ARF3
82,B3KY11;A0A024R0Z3;Q9BUQ8;A8KA56,DDX23
83,A0A024R102;Q96GM5;A0A024R137;F8VUB0;B4DF50;F8VZ70,SMARCD1
84,A0A024R106;Q8TBF4;Q05DR1;G3V1V1,ZCRB1
85,H0YHF8;H0YIC9;F8VYY9;A0A024R125;P54619;F8VZX1,PRKAG1
86,Q9H0H5;A0A2X0U4T9;A0A024R136;B2RE34;F8VRD2,RACGAP1
87,A0A024R152,hCG_28765
88,O95347;A0A024R158;B7ZLZ7;A8K984;B3KMB1;Q05BV1;Q2KQ72;B3KM27,SMC2;SMC2L1
89,O95758;A0A024R163,PTBP3;ROD1
90,A0A024R169;Q9NXF1;B4DQR0,TEX10
91,F2Z3J9;A0A024R172;Q14914,PTGR1;LTB4DH
92,A0A024R179;Q09161,NCBP1
93,A0A024R1A3;P22314,UBE1;UBA1
94,A8K4W8;A0A024R1A4;P68036,UBE2L3
95,A0A024R1C1;Q13356;A8K0I0;B4DRD4,PPIL2
96,A0A024R1D6;Q13769;F8WCP5,hCG_2011153;THOC5
97,A0A024R1D9;A0A024R1I0;A0A024R1F6;A0A024R1J9;A0A024R1J8;P35240,NF2
98,A0A087WWW8;A0A024R1E5;Q9Y6J0;Q8WTX5,CABIN1
99,Q9HD72;A8K6Y8;A0A024R1H7;A0A024R1F8;Q59HH1;A0A024R1M5;Q9HBE1,ZNF278;PATZ1
100,Q8N523;A0A024R1I7;Q9UBB9;B4DPE5,TFIP11
101,A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2,YWHAH
102,A0A024R1K8;Q15459;B4E091,SF3A1
103,A0A024R1N1;P35579;Q86XU5,MYH9
104,A0A024R1N4;P12956;B1AHC9;B2RDN9;B4DE32;B4E356,XRCC6
105,A0A024R1P7;B4E2A6;Q9UH99;B4DIU6;A8K129;Q6NT72,UNC84B;SUN2
106,B1AHQ6;A0A024R1Q3;Q9NSP4;B1AHQ7,CENPM;C22orf18
107,Q9BTQ7;A0A024R1Q8;P62829;C9JD32;B9ZVP7;J3KT29,RPL23
108,A0A024R1S5;O00178;B2RDW9,GTPBP1
109,Q969G3;A0A024R1S7;B4DGM3;A0A2R8Y855;A0A2R8Y765;A0A2R8YES3;A0A2R8Y4T4;A0A2R8Y7I9;A0A2U3TZQ7;A0A2R8Y7U4;J3QKS7;J3QR61;K7EMQ8;H7C048,SMARCE1
110,A0A024R1S8;Q14847;C9J9W2;A8K1D2,LASP1
111,B4DFN6;B4DI06;A0A024R1T5;P09543,CNP
112,A0A024R1Y2;A0A024R1T9;Q4LE36;P53396;Q8N9C4,ACLY;ACLY variant protein
113,A0A024R1U0;P46060;B4DY16;B4E0U0,RANGAP1
114,K7EQS1;A0A158RUX1;A0A024R1W9;A0A024R1U1;Q9P2W1;K7ELD8;K7EK12,PSMC3IP
115,A0A024R1U2;Q7RTV0,PHF5A
116,A0A024R1U4;P51148;K7ENY4;K7ERI8;K7ERQ8;F8VVK3,RAB5C
117,E4W6B6;B2R4D8;A0A024R1V4;P61353;K7ELC7,RPL27
118,Q6ZME7;Q658U4;A0A024R1W3;Q96AY3;B4DJJ5,DKFZp666D193;FKBP10
119,A0A0S2Z487;A0A024R1X8;P14923,JUP
120,P38398;A0A386IPW2;A0A386INP3;A0A386IPK6;G8I0D8;A0A024R1Y0;A0A386IN41;A0A386INQ5;Q3LRH8;A0A386IN52;A0A386IQ66;A0A386IN60;A0A024R1Y1;A0A024R1W0;Q5XLT4;Q5YLB2;A0A386IPB0;A0A386IPL0;A0A024R1V8;A0A386INJ5;A0A386IPW4;A0A386IPY7;A0A386INP8;A0A386IQ64;A0A4P8DLA0;A0A386IN53;Q7Z606,BRCA1
121,A0A024R1Z6;Q99536;K7ENX2;K7EM19;B3KUF8,VAT1
122,Q53GN6;A0A024R201;Q9Y6E3;Q9UNM6;B4DJ66;J3KNQ3;B2RBM7;A0A087WUL9;E9PL38;Q9UNM7;H0YD73,PSMD13
123,V9HWJ8;A0A024R203;P61289;K9J957;Q6FHK7;B3KQ25;K7ESG5;A0A087WTV2;J7FRP4;K7ENH2,HEL-S-283;PSME3
124,A0A024R216;Q9Y3E1;H3BPM9,HDGFRP3
125,A0A024R222;B4DHQ3;Q9Y617;A0A024R280,PSAT1
126,A0A024R233;B7Z954;A0A3B3IRI3;A0A3B3ITE1;A0A1B0GTW1;A0A2R8YDH4;Q9UDY2;B7Z2R3;A0A024R225;A0A3B3ISZ5;A0A3B3IT83;A0A3B3IRV6;A0A3B3ISF1;A0A3B3IU51;A0A3B3IS03,TJP2
127,A0A024R241;D9IVD5;Q16649,NFIL3
128,A0A024R248;Q96LW7,C9orf89
129,Q76FK4;A0A024R250;F5H101;F8WE42;B4DM91;A6H8Z4;Q6AI50;F5GWN9;A0A0A0MSJ1,NOL8;DKFZp686P12242
130,A0A024R258;B3KNI8;B3KNI2;Q9UMX0,UBQLN1
131,A0A024R259;O43310,KIAA0427;CTIF
132,A0A087WXM6;J3QQT2;J3KRX5;A0A024R261;A0A0A6YYL6;P18621;J3QLC8;A0A0A0MRF8;J3KRB3;A0A087WWH0;J3QS96,RPL17;hCG_24487;RPL17-C18orf32
133,A0A024R277;O15269;Q6NUL7,SPTLC1
134,B3KXW2;A0A024R283;Q9HCE3,ZNF532
135,A0A024R297;Q9Y657,SPIN;SPIN1
136,Q53FS4;B2R774;A0A024R2A7;P49257,LMAN1
137,A0A024R2B1;P50452;H7BXK7;A0A1B0GU38;B2R9H3;C9JVA8,SERPINB8
138,A0A024R2F9;Q9BTV4;A0A0S2Z5N2;Q8TEP9,TMEM43;FLJ00144
139,A0A024R2G2;Q9BXW9,FANCD2
140,D3YTB1;A0A024R2G7;F8W727;P62910,RPL32
141,A0A024R2I7;Q53H10;Q9NS91;F8WE49,RAD18
142,P20339;A0A024R2K1;A0A0A1HAN9,RAB5A
143,A0A024R2K4;Q9Y608;A0A1S5UZ17;C9JSU1,LRRFIP2
144,A0A024R2L1;Q8TAF3,WDR48
145,O95747;A0A024R2M7,OXSR1
146,A0A024R2M8;X5DRB1;D9I4E1;A8K146;Q01831;D2CPI9;D2CPJ0,XPC
147,A0A024R2N6;P30414;Q59EC3;Q6M1B8;A0A087WYW3,NKTR;DKFZp686J06106
148,C9J9K3;A0A024R2P0;A0A0C4DG17;P08865;Q96RS2;F8WD59;A0A024R7P5,RPSA;LOC388524
149,B2RDZ9;A0A024R2P7;Q15024;B4DIU0,EXOSC7
150,P35222;B4DL06;A0A024R2Q3;B5BU28;A0A2R8Y7Z0;A0A2R8YCH5;B4DGU4;A0A2R8Y5Z1;A0A2R8Y750;A0A2R8Y5C3;A0A2R8Y543;B4DSW9;A0A2R8Y804;A0A2R8Y5A3,CTNNB1
151,E7EQV9;A0A024R2Q4;P61313;A0A2R8YEM3;E7ENU7;B4DLP4,RPL15
152,A0A024R2X6;Q08AK7;A0A024R2T0;Q13107;Q53H56;Q53FJ3;H7C189,USP4
153,H7BXY3;A0A024R2T6;Q7L2E3,DHX30
154,A0A0U1RQJ8;A0A024R307;A0A024R2U4;Q8WXE1;A0A0U1RQW3,TREX1;ATRIP
155,A0A024R2U6;P52756;Q59HE6,RBM5
156,A0A0S2Z472;A8KAH7;A0A024R2W3;P13861;H7C330,PRKAR2A
157,A0A024R2Z6;Q9BVP2,GNL3
158,F8W6N3;A0A024R305;Q92560,BAP1
159,A0A024R325;Q96I99;Q3ZCW5;E9PDQ8,SUCLG2
160,A0A024R326;Q6IPI1;A0A3B3ITT5;P47914,RPL29
161,A0A024R332;Q6I9Y2;H7C5E3,NIF3L1BP1;THOC7
162,A0A024R333;Q6UXN9,TMEM113;WDR82
163,A0A024R370;P82094;B4DQY7;A0A2R8Y7M0;F8WF45,TMF1
164,B4DZZ0;B3KQB4;A0A024R371;O75915;F8WF90;C9JQU6;F8WF33;B4DWQ6,ARL6IP5
165,A0A024R377;Q6IQ32,KIAA0863;ADNP2
166,A0A024R388;Q9NXG2;Q6MZT3;O60362;B4DFY9,THUMPD1;DKFZp686C1054;44M2.1
167,A0A024R3C3;A0A024R394;Q9UHD1;E9PPQ5,CHORDC1
168,A0A024R395;P49959;F8W7U8;Q05D78,MRE11A
169,E9PM04;A0A024R3A2;Q9BTE7;B4DP84;H0YCN4,DCUN1D5
170,A0A024R3C7;Q13315;B4DSP3,ATM
171,B4DLQ2;H0YDD4;E9PEJ4;B4DJX1;Q86YI5;A0A024R3D8;P10515;Q01991;B4DS43,DLAT
172,A0A024R3F4;A0A024R3H6;Q86UU1;Q5W9G0;Q96D60;B0YJ65;Q6ZUD6,PHLDB1;KIAA0638
173,A0A024R3J7;P46977,hCG_2032701;STT3A
174,A0A024R3K9;A0A024R3N2;Q6P4R8;E9PQ59;B4DSL1,NFRKB
175,A0A024R3M1;Q9P016,THYN1
176,A0A024R3P9;Q9H3P7,ACBD3
177,Q9NVF7;A0A024R3Q6,FBXO28
178,A0A024R3R1;Q4LE39;X6RCR8,ARID4B
179,A0A024R3R5;Q14739;A0A494C1L1;C9JXK0,LBR
180,A0A024R3S1;Q9H425;E5RI90,C1orf198
181,A0A024R3T8;P09874;B2R5W3;B4E0E1,PARP1
182,C9JR56;B3KPQ9;A0A024R3U6;Q59FT3;Q9UPW6;A0A024R2H1;Q01826,SATB2;SATB1
183,A0A024R3V0;Q9NUQ6;B8ZZZ7,DNAPTP6;SPATS2L
184,B8ZZ77;A0A024R3V4;A0A0S2Z5A8;B4DN80;Q9H2H8;C9K058;H7BZ14,PPIL3
185,A0A024R3W2;Q15388,TOMM20
186,A0A024R3W7;P24534,EEF1B2
187,P10809;A0A024R3X4;B3GQS7;B7Z597;B7Z5E7;B7Z4F6,HSPD1
188,A0A024R3Z6;Q53FN7;Q7L1Q6;C9IZ80;D3DN77;B3KU41;C9JFN4,BZW1;hCG_2022736
189,A0A024R411;Q13416;B4DYU9,ORC2L;ORC2
190,B4DHC5;A0A024R458;A0A0S2Z444;A0A0S2Z3Y3;A0A0S2Z3Z1;A0A0S2Z462;P52594;B8ZZY2;C9J2I0,HRB;AGFG1
191,A0A024R462;P02751;B7ZLE5;A0A384MR03,FN1
192,Q9H9Q2;A0A024R471;Q53GQ2;J3KQ41;J3KQ34;A0A087X1P5,COPS7B
193,Q53S54;A0A024R475;Q13618;B7Z600,CUL3
194,A0A024R496;Q9Y376;A0A087X0K1;Q7Z4X0,CAB39
195,B3KN05;B2RBE0;A0A024R497;O95573;B3KMA6,ACSL3
196,P19338;A0A024R4A0;B3KTP9;Q9BQ02;B3KM80;Q6ZS99;H7BY16,NCL
197,A0A024R4A5;I1E4Y6;Q6Y7W6,TNRC15;GIGYF2
198,E9PHH9;Q53F76;A0A024R4C1;Q9BUI4;Q9BT08,POLR3C
199,E9PGT6;B2R8N1;A0A024R4D1;Q99627;H7C3S9,COPS8
200,A0A024R4D4;Q8WVJ9;H7BY00;Q15672,TWIST2;TWIST1
201,Q53GL1;A0A024R4E1;Q9HAN9,NMNAT1
202,Q13148;A0A024R4E2;A0A0A0N0L3;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EN94;A0A0A0N0M3;A0A087WX29;A0A0A0N0N3;K7EJM5;A0A087WV68;A0A087WXQ5,TARDBP;TDP43
203,A0A024R4E5;B2R5V9;H0Y394;B4DKR8;Q6ZS03;Q96CF6,HDLBP
204,P06733;A0A024R4F1;A0A2R8Y6G6;E2DRY6,ENO1
205,A0A024R4F4;M0R2B7;P28340;Q308M6;M0QZR8;Q59FA0,POLD1
206,A0A024R4G1;Q8N1G4,LRRC47
207,B2R5M9;A0A024R4H0;Q02809;B4DGN8;Q5JXB8;Q5JXB7;B4DHT1,PLOD1
208,Q0QF37;Q75MT9;Q6FHZ0;A0A024R4K3;P40926;G3XAL0;B3KTM1,MDH2
209,A0A024R4M0;P46781;A5D904;B5MCT8;C9JM19;B7Z732,RPS9
210,A0A024R4N9;Q9BSV6;B0V3J0;A9C4B9;A0A0G2JNK5;B4DT51;E7EQB3,TSEN34
211,M0R0F0;A0A024R4Q8;P46782;M0R0R2;Q53G25;M0QZN2,RPS5
212,A0A0G2JNN3;A0A024R4R9;C9JMY0;A0A087WUE4;Q96PV6,LENG8
213,A0A024R4T4;P61081,UBE2M
214,B7Z6L2;A0A024R4U0;Q9NP61;H0Y6A0,ARFGAP3
215,A0A024R4V5;B4E3L9;A0A024R4W4;Q86X06;O95696;B7Z926;Q9Y4Q3;Q59G93;J3KQ61;B4DZ41;B4DZC2,BRD1;DKFZp434B094
216,A0A024R4X0;P00387;B1AHF3;Q6ZVI6,CYB5R3
217,A0A024R4X1;Q6FIA3;A0A0U1RR22;Q9UNF0;B0QYG7;B0QYG8,PACSIN2
218,A0A024R4X7;Q9UKX7,hCG_1989366;NUP50
219,A0A0A6YYC7;A0A024R4Z4;A0A024R4Z1;Q96JP5,ZFP91-CNTF;hCG_2042749;ZFP91
220,A0A024R4Z3;Q96PZ2,FAM111A
221,A0A024R4Z6;Q08945,SSRP1
222,A0A024R534;O94776,MTA2
223,E9PJ81;A0A024R598;A0A024R539;Q04323;A0A087WTZ5;E9PRQ7;B4E0P8,UBXN1;LOC51035
224,A0A024R542;Q9C0C2;B3KXS7,TNKS1BP1
225,F5GX77;A0A024R565;Q9UI30;F5GYQ2,TRMT112;HSPC152
226,A0A024R566;A0A024R5D9;A0A024R588;B4DJU4;A0A024R572;Q15637;B4DSE4,SF1
227,B2R5U3;A0A024R571;Q9H4M9;B4DZH9;C9JC03;B4DTR4;B4DMV9;B4DR44;C9J2Z4,EHD1
228,A0A024R5A3;A0A024R580;B2RDI5;P07384;B4DWH5,CAPN1
229,A0A024R582;J3KMZ8;Q92785,DPF2
230,A8K0D4;A0A024R5A7;Q9Y6J9;E9PP94;B4DVM4,TAF6L
231,A0A024R5C5;P11498;A0A494C016,PC
232,A0A024R5E3;A0A024R5D2;E7EN32;A0A024R570;O00255;E7ENS2;E7EPR4;E7ET29,MEN1
233,A0A024R5D6;B5MBX0;Q96FF9,CDCA5
234,A0A024R5E5;Q13488;E9PM12;Q64F87;E9PNA6,TCIRG1
235,Q9UBM7;A0A024R5F7;A0A1Y1B909;A8K0D2;X5DNI9;X5DRD7;B4E1K5;E9PM00,DHCR7
236,O75531;A0A024R5H0;B2R4V4,BANF1
237,A0A024R5H6;Q6VY07,PACS1
238,Q6FGX3;Q53ET8;A0A024R5J5;A0A024R5H8;P20340;B7Z5Z9;Q6AZ91;Q9NRW1;C9JU14;J3KR73,RAB6A;RAB6B
239,A0A024R5K1;Q9BR76;A0A087WW53;F5H390;Q59F81;B4DIU2,CORO1B
240,P50454;A0A024R5K8;A8K259;B4DN87;E9PPV6;E9PR70;E9PK86;E9PMI5;E9PNX1,SERPINH1
241,B5BU72;A0A024R5L7;A8K5U9;A0A024R5P1;Q13492,PICALM
242,B4DYZ7;A0A024R5M8;Q15054;B7ZAQ5;Q05BV7;Q569I8,POLD3
243,B4E1L0;A0A024R5Q7;P30520,ADSS
244,A0A024R5Q8;Q05D32;H0YMH7,CTDSPL2
245,A0A024R5S9;H0Y8X6;P46934,NEDD4
246,B4DGI9;B4DZH5;A0A024R5T1;A0A024R5Z0;Q99081;B4DZ50;B4DZP2;H0YNP8;F5GY10;B4DH96,TCF12
247,A8K124;B4DHL1;A0A024R5W1;Q6N043;Q9H740;H0YLA6;H0YL38,SUHW4;ZNF280D
248,Q9H072;A0A024R5X7;O76031,DKFZp586J151;CLPX
249,Q59F45;A0A024R5Z3;P84022,SMAD3
250,P07355;A0A024R5Z7;V9HW65;H0YN42;H0YMU9;H0YMD0;A6NMY6;H0YKS4;B4DNH8;H0YM50;H0YNP5;H0YMM1,ANXA2;HEL-S-270;ANXA2P2
251,H3BMH2;H3BSC1;A0A024R5Z8;P62491;Q15907;B4DMN1,RAB11A;RAB11B
252,A0A024R611;Q59G88;P31146,CORO1A
253,Q5U086;A0A024R625;P60510;H3BTA2;I3L4X0;H3BV22,PPP4C
254,A0A024R632;Q14807;B7Z9T5;H3BRB3,KIF22
255,V9GYY3;A0A384N5Y3;A0A024R652;F5H2F4;P11586;B7Z809;V9GZ78;A0A494C1T2,MTHFD1
256,A0A024R663;Q86UP2;G3V4Y7,KTN1
257,A0A024R669;A0A024R688;P51948;H0YJ92,MNAT1
258,A0A024R687;Q96AC1;H0YJ34;A8K6S3;A0A0U1RRM8,PLEKHC1;FERMT2
259,A0A0A0MSU2;A0PJD3;A0A024R689;A0A1C7CYX1;Q6PJG2,ELMSAN1;C14orf43
260,Q86TY5;Q6FGL0;A0A024R693;Q59FR8;P17931;Q6NVH9;G3V3R6,LGALS3;hCG_22119
261,A0A024R694;P12814;Q86TX4,ACTN1
262,A0A384MDT7;A0A024R6B5;P54652;B3KUS2,HSPA2
263,A0A024R6C9;P36957;Q6IBS5;Q86TQ8;Q86TW7;Q86SW4,DLST
264,A0A024R6D1;Q8TD19,NEK9
265,P84090;A0A024R6D4,ERH
266,A0A024R6D8;Q13243;Q59EK7;B4DJK0;B4DUA4,SFRS5;SRSF5
267,B3KN45;A0A024R6H0;Q9P2I0;B3KMI0,CPSF2
268,H0YJV2;A0A024R6H1;O15270,SPTLC2
269,G3V5E1;A0A024R6K1;O75909;G3V2Q3,CCNK
270,P23381;A0A024R6K8,WARS
271,G3V2F4;Q32Q25;E7EPD8;B2RDI0;A0A024R6L5;Q9NUW8,TDP1
272,A0A024R6M2;Q6IN85;G3V5Z3;H0YIY8,KIAA2010;SMEK1
273,P51003;A0A024R6M3;B4DYF4;G3XAH6;B4DHB8;A0A024R6J7;G3V2A0,PAPOLA
274,A0A024R6M6;A8K5J7;Q9UL15,BAG5
275,A0A024R6N2;Q9Y5S2,CDC42BPB
276,Q6IBU0;A0A024R6Q1;P55010;Q05DF3;H0YN40,EIF5
277,A0A024R6Q2;Q96FX7;Q96B39;H0Y2Q1,C14orf172;TRMT61A
278,Q9NPI1;A0A024R6Q8,BRD7
279,B2RDX0;A8K7Z9;A0A024R6R1;Q8NEM2,SHCBP1
280,H3BT22;B3KMP9;A0A024R6R3;Q9Y5N6,ORC6;ORC6L
281,A0A024R6S1;O60884,DNAJA2
282,Q9GZU8;A0A024R6T8;H3BTP8;H3BMX9;H3BUL4;H3BP64;H3BSY6;H3BTI2;H3BQQ6;H3BSF0;Q6P4H7;H3BN22;Q2VIL1,FAM192A;NIP30
283,A0A024R6W0;P00505;B3KUZ8;A8K482,GOT2
284,B2R6U8;A0A024R6W2;O43809,NUDT21
285,Q13951;A0A024R6X2;J3KS23,CBFB
286,A0A024R6Z0;O43237;J3KRI4,DYNC1LI2
287,H3BQV3;A0A024R6Z6;B4DYU2;Q96MW5,COG8;hCG_2027080
288,A0A024R705;Q9UN37;I3L4J1;Q9NXK5;Q9UF30,VPS4A;DKFZp434E0418
289,B4DFL1;E9PEX6;B4DMK9;A0A024R713;P09622,DLD
290,A0A024R718;P43490;A0A0C4DFS8,PBEF1;NAMPT
291,A0A024R732;Q13425,SNTB2
292,Q5MJ32;Q5MJ34;B7Z7M5;A0A024R739;Q9NUX5;Q5MJ35,POT1
293,A0A024R753;Q9NW13,RBM28
294,A0A024R784;O15164;B4DYZ9;Q6ZSA6,TRIM24
295,B2R6H7;A0A024R794;Q9Y5L0;C9J7E5;E9PFH4;B3KMX1;B3KM69,TNPO3
296,A0A024R7A8;P15121;Q59EL5;E9PCX2;E9PEF9,AKR1B1
297,A0A024R7B7;Q16543;Q6FG59;K7EQA9;K7EKQ2,CDC37
298,A0A024R7C4;A0A494C108;B4DUT2;Q8N9T8;B7ZLF4;B4DUY9;F8WFC1,FLJ12949;KRI1
299,Q12906;F4ZW66;A0A024R7C7;F4ZW65;F4ZW64;A8K590;B4DFG4,ILF3
300,A0A024R7E0;Q96RE7,BTBD14B;NACC1
301,A0A024R7E3;P26358;Q59FP7,DNMT1
302,B4DRY5;A0A024R7F7;Q4LE60;O14787;A0A075B780;Q05D48;B3KPC8,TNPO2;TNPO2 variant protein
303,A5PKY0;A0A024R7G6;M0R165;A8K5P4;Q9UBC2;M0R2S2;B4DQX5;B4DME4,EPS15L1
304,A8K2I7;A0A024R7I0;O14908;K7EM11;A0A024R7I1,GIPC1
305,A0A024R7I3;P61006,RAB8A
306,A0A024R7I5;Q9NXH9;B4DHS5;A8K8L2;K7EQQ8;A0A024R7G3,TRMT1
307,A8K8B9;A0A024R7J0;P17612,PRKACA
