Protein IDs	Majority protein IDs	Protein names	Gene names	Reporter intensity corrected 1 SB45-LI	Reporter intensity corrected 2 SB45-LI	Reporter intensity corrected 3 SB45-LI	Reporter intensity corrected 4 SB45-LI	Reporter intensity corrected 5 SB45-LI	Reporter intensity corrected 6 SB45-LI	Reporter intensity corrected 7 SB45-LI	Reporter intensity corrected 8 SB45-LI	Reporter intensity corrected 9 SB45-LI	Reporter intensity corrected 10 SB45-LI	Reporter intensity corrected 1 SB46-LI	Reporter intensity corrected 2 SB46-LI	Reporter intensity corrected 3 SB46-LI	Reporter intensity corrected 4 SB46-LI	Reporter intensity corrected 5 SB46-LI	Reporter intensity corrected 6 SB46-LI	Reporter intensity corrected 7 SB46-LI	Reporter intensity corrected 8 SB46-LI	Reporter intensity corrected 9 SB46-LI	Reporter intensity corrected 10 SB46-LI	Reporter intensity corrected 1 SB47-LI	Reporter intensity corrected 2 SB47-LI	Reporter intensity corrected 3 SB47-LI	Reporter intensity corrected 4 SB47-LI	Reporter intensity corrected 5 SB47-LI	Reporter intensity corrected 6 SB47-LI	Reporter intensity corrected 7 SB47-LI	Reporter intensity corrected 8 SB47-LI	Reporter intensity corrected 9 SB47-LI	Reporter intensity corrected 10 SB47-LI	Intensity SB45-LI	Intensity SB46-LI	Intensity SB47-LI
Q15147;B1AJW3;B1AJW4	Q15147	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4"	PLCB4	441020	356960	198560	273470	304200	216360	377060	415030	371000	331100	663680	450920	498320	492140	463510	334450	505210	435960	240660	529640	842590	498800	585370	731010	567070	643530	569560	727220	587570	741590	257690000	255520000	235180000
Q8N3E9;D3DX63;H0YGF8;F5GXC1;K7EQF2	Q8N3E9;D3DX63	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3;Phosphoinositide phospholipase C"	PLCD3	9365.3	0	2154.5	3453.6	0	0	4675.1	0	2937.7	3096	166140	92484	83387	114640	113730	61135	95035	88074	101130	138670	13684	14338	11099	17854	4413.3	16111	11495	14486	10739	13547	8610000	64326000	25453000
Q9P212;B7ZM61	Q9P212;B7ZM61	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1;Phosphoinositide phospholipase C"	PLCE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57833	30534	36079	23144	35756	34876	29096	37971	43434	48720	0	0	109070000
Q9BV57;A0A0G2JQN5	Q9BV57;A0A0G2JQN5	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	ADI1	0	0	0	0	0	0	0	0	0	0	94433	85543	76323	59593	66459	43225	66627	62226	33935	99538	0	0	0	0	0	0	0	0	0	0	0	32885000	0
Q04446;E9PGM4	Q04446;E9PGM4	"1,4-alpha-glucan-branching enzyme"	GBE1	1071800	769160	450710	785910	650950	558050	1415400	1154500	1053300	812540	5476400	3575400	4000000	4735600	3809400	3256900	4610500	4647600	3454700	5203500	3718200	2897700	3109900	3547000	3003100	2565100	2989600	4476300	3338900	3261500	1030400000	2266000000	2534200000
Q9UNM1;A0A384N6A4;P61604;B8ZZL8;A0A024R3X7;B8ZZ54	Q9UNM1;A0A384N6A4;P61604;B8ZZL8;A0A024R3X7;B8ZZ54	"10 kDa heat shock protein, mitochondrial"	EPFP1;HSPE1	724180	410330	326130	367020	239950	185910	641370	495420	561370	541860	1759300	1791400	1530000	1798000	1844600	1041500	1457500	1708300	1135400	1987600	859530	677540	884290	733870	1085400	563330	857070	828040	534010	806080	240660000	872190000	265420000
B4DTU7;A0A494C1M4;Q3SY69;H0YHN9;Q6ZV71	B4DTU7;A0A494C1M4;Q3SY69	10-formyltetrahydrofolate dehydrogenase;Mitochondrial 10-formyltetrahydrofolate dehydrogenase	ALDH1L2	493620	346810	239080	311460	245510	191010	483530	460630	449170	359500	808450	536440	620680	832310	738150	417650	745530	699670	527690	799470	901600	498550	700900	722550	435690	454640	371270	827330	592470	581360	243580000	373740000	349590000
Q6IBM8;A8KAP3;Q15029;B3KX19;Q8IXJ3;B4DZB1;B3KWY2;K7EP67;K7EJ74;K7EIV5;K7EIT3	Q6IBM8;A8KAP3;Q15029;B3KX19;Q8IXJ3;B4DZB1;B3KWY2	116 kDa U5 small nuclear ribonucleoprotein component	U5-116KD;EFTUD2;SNRP116	9056700	8125200	5512300	6551600	6275000	4687200	8785600	9379000	7281800	7097300	20053000	13877000	11956000	12615000	11032000	8701900	13333000	13941000	8715000	15505000	13401000	11619000	10896000	12215000	9112300	10577000	9264700	13187000	12117000	13627000	5021400000	10821000000	9130200000
V9HWC4;Q9NRX4;Q6FIE5;Q9P019	V9HWC4;Q9NRX4;Q6FIE5	14 kDa phosphohistidine phosphatase	HEL-S-132P;PHPT1;PHP14	2830800	2488600	1353700	1967800	1815700	1323900	2765700	2950400	2093400	2239100	5215700	2332200	3030100	3738700	2538800	2685000	3828600	3421900	1480800	3909500	1591100	1303000	1336500	1550700	1171900	1266400	1091900	1683500	1185400	1185500	798560000	1689800000	1045000000
V9HWD6;P31946;B5BU24;Q4VY20;Q4VY19;A0A0J9YWE8;Q59EQ2;A0A0J9YWZ2	V9HWD6;P31946;B5BU24	"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed"	HEL-S-1;YWHAB	1422900	1311200	959460	839870	1028200	699100	1366600	1611700	1263000	1174000	2998800	1926600	2065600	1754200	1724900	1358900	2725400	2114900	454290	2524400	1881100	1574400	1635500	1291300	1518300	1922600	1636600	1414500	1628300	1956300	1870400000	2659500000	2199500000
V9HW98;P62258;G9K389;G9K388;B7ZA86;B4DJF2;K7EM20;B4DJB0;I3L0W5;K7EIT4;B3KT37	V9HW98;P62258;G9K389;G9K388;B7ZA86	14-3-3 protein epsilon	HEL2;YWHAE;YWHAE/FAM22B fusion;YWHAE/FAM22A fusion	5125600	4383900	2420500	3640800	3606500	2559600	6754700	5162200	4725200	5268000	5712600	5800100	5961400	4140000	5343400	2721500	5594100	5235500	1688700	4849700	1587800	1489200	1625000	1612900	1880400	1406700	1776300	1584300	1409000	1681400	8631300000	11101000000	11864000000
A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2;F8WEB6;A2IDB1	A0A024R1K7;Q04917;B2R6N6;Q9H4N8;A2IDB2	14-3-3 protein eta	YWHAH	262640	230150	155990	175660	175900	124600	306270	287740	245950	203630	1140300	1170100	999650	1068500	1133000	961440	1264400	1349500	812860	1307500	298700	326570	424290	402020	453110	279150	396990	391420	256270	414460	619590000	1664800000	730660000
B3KNB4;P61981;B4DE78;B4DHC4;Q3YBA8	B3KNB4;P61981;B4DE78;B4DHC4	"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed"	YWHAG	3211700	3102000	1801700	2618900	2329300	1792200	3773600	3016200	2916400	2960600	5081000	3109500	3770200	3733500	3469100	2136300	3748800	3715300	2739600	3692900	3394600	3531600	3049000	3295200	3756500	2766600	3087700	2835100	2997400	3282200	1515500000	5245300000	2304200000
P27348;B4DMT8;Q53S41;B4DY04;E9PG15;Q53RR5	P27348;B4DMT8;Q53S41;B4DY04	14-3-3 protein theta	YWHAQ	414130	457170	217250	339160	305740	218940	534260	454140	392780	375190	647230	554700	560530	541160	552430	285290	617360	513770	163240	706430	407110	379110	408840	487790	439410	447630	464350	401320	328440	461560	937190000	3417400000	2151500000
D0PNI1;P63104;B0AZS6;E7EX29;B7Z2E6;H0YB80;Q2F831;E7ESK7;E5RIR4;E9PD24;E7EVZ2;Q6LD62;E5RGE1	D0PNI1;P63104;B0AZS6;E7EX29;B7Z2E6;H0YB80	14-3-3 protein zeta/delta	YWHAZ	3817300	4126800	2156200	2917700	2926300	2905700	5040300	4419500	4207300	4401000	4834300	4319500	3869700	4163800	4281200	3153900	5513400	4687800	2582100	4574900	1961700	1896900	2043400	1722400	2226800	1802600	1931800	2008000	1821000	2238500	5643700000	10385000000	7505300000
O60613;A0A087X1G7;A0A0J9YX89	O60613;A0A087X1G7;A0A0J9YX89	15 kDa selenoprotein	42248	103300	47174	31704	36988	39930	10455	47444	72697	77735	51495	24292	25487	21277	22001	19633	20121	17560	20823	17143	30835	169260	141440	114150	95140	109710	138010	70934	117710	118830	130160	31434000	27768000	68743000
A0A024R542;Q9C0C2;B3KXS7;Q86TK2;E9PKK0;E9PKE7	A0A024R542;Q9C0C2;B3KXS7	182 kDa tankyrase-1-binding protein	TNKS1BP1	1898200	1867900	1156400	1652700	1511800	1084400	2160300	2516300	1739600	1631900	2807000	1888500	1862500	1744600	1587800	1555400	2165300	2136000	1378100	2285200	2874100	2327100	2155000	2324800	2036300	1931100	1868200	3030300	2224300	2356100	1488700000	2501800000	2185600000
A8KA84;A0A024RBQ5;Q9Y6K5;F8VS35;F8VWK9;H0YHL3	A8KA84;A0A024RBQ5;Q9Y6K5	2-5-oligoadenylate synthase 3	OAS3	101590	78405	68718	85807	71422	44128	90957	106640	77815	84749	338950	284830	246680	283680	223750	165040	321860	302170	171570	342460	260990	192790	237580	234320	210100	210250	177030	214760	275490	257800	38347000	140160000	53003000
O75600;A8K228	O75600;A8K228	"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"	GCAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10520	0	5959.2	7302.8	10824	7897.9	0	7646.7	9654.2	13507	0	0	3348500
B4DXR1;Q9UJ83;B3KPX4;B4DRJ1;Q7Z773;F8WCH9;C9JJM7;C9J306	B4DXR1;Q9UJ83;B3KPX4;B4DRJ1	2-hydroxyacyl-CoA lyase 1	HACL1	37034	31831	21974	20337	28271	17832	28775	40864	36394	34876	116430	58219	54287	65081	67794	50953	67697	70918	52297	68967	72551	53447	71950	65570	39461	43579	41946	63231	51894	58718	25883000	44196000	42631000
Q6N063	Q6N063	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2	OGFOD2	5492.4	9542	8172.4	8532.7	7000.9	4336.7	10222	7676.1	9088.5	5097.6	11351	5660.1	13577	16326	5227.9	0	12995	0	5421.8	9967.9	12817	20397	17128	18204	18978	13336	13099	17893	23167	24240	4593400	11470000	12632000
A0A024R8X4;Q6PK18;J3QRG1;J3QLI8;K7ENS7	A0A024R8X4;Q6PK18;J3QRG1	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3	FLJ22222;OGFOD3	52939	28281	4694.1	30413	13280	20926	28643	35121	53784	25659	291290	214810	192000	188430	217100	161360	280120	273450	135950	189740	43341	20801	27908	44633	33792	31163	37217	61892	29140	49837	41923000	126910000	56261000
Q02218;A0A0D9SFS3;E9PDF2;E9PCR7;B4DF00;B4E3E9;B4DH65;E9PFG7;B4DK55;B4DZ95;A0A140VJQ5;A2VCT2;A2VCT3;Q9ULD0;C9J4G7	Q02218;A0A0D9SFS3;E9PDF2;E9PCR7;B4DF00;B4E3E9;B4DH65;E9PFG7;B4DK55;B4DZ95	"2-oxoglutarate dehydrogenase, mitochondrial"	OGDH	214430	130180	94747	142100	99592	69595	212230	187780	189130	181810	700720	459520	513740	673230	552570	352880	573770	679420	676830	581570	519630	329380	361900	412860	369840	269480	256260	458820	402260	419710	128950000	351180000	240430000
Q59EI3;A0A024R0K3;Q6ZSA3;F5H5P2;P12694;H0YH31;Q658P7;B2R8A9	Q59EI3;A0A024R0K3;Q6ZSA3;F5H5P2;P12694;H0YH31;Q658P7;B2R8A9	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	BCKDHA;DKFZp313C0640	47811	36830	22494	36605	20547	17367	40475	55530	50650	37869	0	0	0	0	0	0	0	0	0	0	33535	46412	30020	33896	29978	23915	21371	29610	24041	35804	5596200	0	4524400
A0A140VKB3;A0A0K2GN21;P21953;B7ZB80;B4E2N3	A0A140VKB3;A0A0K2GN21;P21953;B7ZB80;B4E2N3	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	BCKDHB	13860	11236	10361	8597.9	12456	5323.2	15642	28164	12894	15004	37740	27480	60484	35197	61105	17537	28204	34358	29773	76273	63208	33963	53864	42933	48164	30859	28746	73206	36061	33792	11266000	40743000	26825000
P09543;A0A024R1T5;B4DI06;B4DFN6;K7ERC4;C9K0L8;K7ERZ0;K7EN66	P09543;A0A024R1T5;B4DI06	"2,3-cyclic-nucleotide 3-phosphodiesterase"	CNP	524480	488280	315000	405540	250000	200860	502230	532250	520920	516740	1156500	900190	759120	748330	776160	540600	847380	783390	455800	958490	1101400	650360	858710	880700	647500	694140	512370	974680	867730	808760	242890000	590760000	453040000
A0A024R9D7;Q16698;E5RFV2;E5RJG7;Q7LDK6;E5RJD2;E5RID6;H0YAW3	A0A024R9D7;Q16698;E5RFV2	"2,4-dienoyl-CoA reductase, mitochondrial"	DECR1	694120	385130	256400	418510	340030	204270	671450	628700	621920	427190	911400	647300	439980	612240	566300	369740	636240	699770	545570	764360	891480	582590	632950	591760	395190	424890	428400	731800	714420	701870	351400000	817020000	603320000
Q6L8Q7;F6T1Q0	Q6L8Q7;F6T1Q0	"2,5-phosphodiesterase 12"	PDE12	526200	461930	252630	431630	362990	296760	635990	565800	429260	447200	1066800	790690	734430	864500	691420	484340	823200	904390	448400	916240	659230	502160	502230	559630	440000	450820	417830	704910	497310	591520	271630000	691390000	453690000
V9HW24;A0A087X2I1;P62333;H0YJC0;H0YJS8;H0YJX2;B4DR91;H0YJE9;H0YJT1;H0YJD2;H0YJY8	V9HW24;A0A087X2I1;P62333;H0YJC0	26S protease regulatory subunit 10B	HEL-S-73;PSMC6	2618000	2460800	1710300	1857800	1569200	1274400	2879500	2253900	2390400	2642900	3270000	2195900	2485100	2643200	2204600	1658900	2764100	2950200	2199400	2853200	3658000	3119700	3423800	3838300	2885600	2726500	3111800	3424700	3088900	3700100	825630000	2443200000	1426000000
Q53XL8;Q53HB3;P62191;G3V4X1	Q53XL8;Q53HB3;P62191	26S protease regulatory subunit 4	PSMC1	1708900	1474900	957990	1229900	1019000	881150	1924900	1616100	1589200	1519600	6393300	4675000	4859000	5937200	4636000	3776100	4738800	5791500	5040000	6257300	2634600	2378400	2198700	2711700	2263000	1931800	1974200	2717400	2196100	2550000	1496600000	3388300000	2346800000
R4GNH3;A8K781;A0A140VK42;P17980;E9PM69;E9PKD5;E9PMD8;E9PN50;E9PLG2	R4GNH3;A8K781;A0A140VK42;P17980;E9PM69;E9PKD5;E9PMD8;E9PN50	26S protease regulatory subunit 6A	PSMC3	6614700	5974600	3694100	4717700	4022300	3567700	6816400	6387500	5479300	5443200	11534000	8037100	8702100	9544600	7912700	5727400	8231600	9974900	4675000	10114000	9531900	7458000	8251300	8075100	7912300	6224500	6059100	10253000	8603900	7853200	1975200000	4135400000	2642500000
A8K2M0;P43686	A8K2M0;P43686	26S protease regulatory subunit 6B	PSMC4	2426400	1905900	1335500	1644400	1452200	1158400	2404600	2164300	2161900	1931900	9047400	6409300	5638800	7765600	6163500	4525500	5764800	7364100	5102800	6954500	3629800	3055000	2556200	3173700	2840500	2618500	2124100	3410900	2811600	3302000	1959000000	5742600000	3168700000
A0A140VK70;P35998;Q75L23;C9JLS9;B7Z571	A0A140VK70;P35998;Q75L23	26S protease regulatory subunit 7	PSMC2	1877400	1517800	946070	1423700	1109800	795760	1810200	1784800	1590000	1538900	6132800	4541300	4130600	5378100	4126200	3188900	4591200	4910000	4002100	5678900	3066800	2356300	2519600	3088500	2598400	2272300	1856300	3212200	2476400	2785700	1640700000	4716200000	2685800000
A0A140VJS3;P62195;Q59GS3;J3QSA9;J3QQM1;J3KRP2;J3QLH6;J3QSE0;J3QRW1;J3QRR3;B2R8F2;A0A090N8G2	A0A140VJS3;P62195;Q59GS3;J3QSA9;J3QQM1;J3KRP2;J3QLH6	26S protease regulatory subunit 8	PSMC5	2315500	2037300	1141200	1523900	1246100	1049900	2354600	2099400	1950800	1891800	3574300	2755000	2372100	2688700	2623400	1693800	2556900	2556000	2149400	2919100	4810600	3765300	4028600	4255700	4597100	3215700	3442400	4596300	3758200	4355000	1806600000	3538200000	2464900000
B2R6D0;Q99460;A0A087WW66;Q05CW6;Q05BX4;C9J9M4;H7BZR6;H7C378;F8WCE3	B2R6D0;Q99460;A0A087WW66;Q05CW6;Q05BX4	26S proteasome non-ATPase regulatory subunit 1	PSMD1	1411200	1005500	719930	935850	789470	589310	1321900	1300500	1147500	1128400	4164500	2927500	2692000	3025200	2583200	2216100	3362500	2899800	4665300	3023000	3179100	2387300	2495600	2726100	2675600	1978100	1972800	3246300	2580500	2655300	1648300000	4230000000	3019100000
B1AJY5;B1AJY7;O75832;B1AJY6	B1AJY5;B1AJY7;O75832	26S proteasome non-ATPase regulatory subunit 10	PSMD10	189730	210920	91444	153890	133640	83423	235080	219840	179230	152860	925880	1062900	685680	1045700	750680	739940	923980	1064800	808410	922790	493130	430490	474410	528330	381360	376990	383790	596870	348490	431470	67384000	615870000	350090000
O00231;B4DTS5;J3QRY4;J3QS13;J3KSW3	O00231;B4DTS5	26S proteasome non-ATPase regulatory subunit 11	PSMD11	3488800	3286400	1894300	2640000	1987600	1177000	4910900	2932000	3352300	3773400	4205600	6164600	4791700	5233600	5604400	2463300	3911700	5583600	3655000	6107900	2521600	2343600	2456900	1785300	3114600	2208700	2544200	1900700	1950500	3486300	1690000000	3007000000	2193700000
A0A0S2Z489;O00232;A0A0S2Z476;J3KTJ5;J3KSK1	A0A0S2Z489;O00232	26S proteasome non-ATPase regulatory subunit 12	PSMD12	399910	459220	218050	287760	249970	211910	520270	335740	341360	355820	2377100	2324900	1622500	2830900	2140800	1580700	1940800	2051900	1663900	2277900	649520	658760	755550	748010	677530	648610	524770	601870	496600	744170	560570000	2469500000	1187100000
Q53GN6;Q9UNM6;B2RBM7;A0A087WUL9;J3KNQ3;E9PL38;E9PQG3;E9PPD2;F8W8J6	Q53GN6;Q9UNM6;B2RBM7;A0A087WUL9;J3KNQ3;E9PL38	26S proteasome non-ATPase regulatory subunit 13	PSMD13	1410100	1202500	680100	912150	883830	551790	1658500	1221900	1234200	1231700	3637900	3398900	2975100	3239600	2965400	2209900	3280800	3667400	2474200	4291400	1440700	1443300	1367300	1251800	1354400	981210	1061100	1297300	1183700	1485300	1223200000	3005300000	1955700000
A0A140VKF2;O00487;Q53TH1;Q59G89;Q4ZG77;Q96DE8;C9JW37	A0A140VKF2;O00487;Q53TH1;Q59G89	26S proteasome non-ATPase regulatory subunit 14	PSMD14	2135300	1820300	1238300	1709100	1506200	840600	2292200	1826800	1927700	1741900	2805500	2190900	2559300	2437300	2039500	1579200	2133500	2150600	1224300	2432300	1088200	819960	797640	1037300	776200	626000	700010	985450	843660	1012900	610910000	1078200000	519930000
Q59EG8;Q13200;B4DM22;Q9NSM5;Q13041;H7C1H2;C9JPC0;H7C2Q3;F8WBS8	Q59EG8;Q13200;B4DM22;Q9NSM5	26S proteasome non-ATPase regulatory subunit 2	PSMD2;DKFZp564A2282	3914300	3303800	2135800	2951100	2487400	1746200	4306800	3802700	3689800	3109700	10888000	7414200	7980700	8856200	7040800	4957500	8579900	8866600	4488800	9394000	6929200	5180900	5603600	5888700	4480600	4442100	4564400	6815400	4812000	5658400	2445300000	6815100000	5143600000
B3KNN7;B4DEB0;Q6IBN0;O43242;Q96N86;B4DV84;Q8N9M2;B4DPM7;O95325;H0YGV8	B3KNN7;B4DEB0;Q6IBN0;O43242;Q96N86;B4DV84;Q8N9M2;B4DPM7	26S proteasome non-ATPase regulatory subunit 3	PSMD3	3350900	2724800	2120000	2531300	1947900	1572000	3649400	2836300	2992700	2627400	9640400	5506700	6677700	7931400	6672000	5402300	7173700	8102400	7157300	7229100	5878300	3149600	4443500	5194800	3663800	3451000	3723300	4933300	4082400	4855900	2063900000	5444100000	3269700000
P55036;A6PVX3;H0Y3Y9	P55036;A6PVX3	26S proteasome non-ATPase regulatory subunit 4	PSMD4	1334800	1252900	740920	889000	780210	534850	1228800	1236400	1148600	976990	3182700	2030300	2244900	2872400	2298800	1617300	2258600	2551900	910770	2452500	2050600	1716800	1700400	2110300	1616700	1679700	1079400	2501800	1868000	1713900	800310000	1649400000	1148300000
Q16401;A8K4T6;F2Z3J2	Q16401;A8K4T6	26S proteasome non-ATPase regulatory subunit 5	PSMD5	538350	561620	298650	552320	455960	260760	859890	652810	499330	529180	1372100	1309200	974160	1305200	1173400	785950	1169800	1404900	959390	1279100	1097400	987010	985100	1120900	1053900	851970	977520	1156300	923180	1091400	427040000	1353500000	970010000
Q15008;B3KT66;C9J7B7;H7C531	Q15008;B3KT66	26S proteasome non-ATPase regulatory subunit 6	PSMD6	1113400	910680	440230	809090	529190	236110	1316400	932940	943000	921790	2833900	3166500	2879500	3429900	2979700	1847800	2643900	3229200	2216300	3265500	1442100	1352000	1146500	1221400	1527800	985660	1186200	1139800	1075900	1799600	814280000	3185500000	1510600000
B2RD27;P51665;B4DXI8;H3BNT7;H3BTM8;H3BQV2	B2RD27;P51665;B4DXI8;H3BNT7;H3BTM8	26S proteasome non-ATPase regulatory subunit 7	PSMD7	1201200	912150	479710	708080	749880	417250	1289400	774560	1049400	877480	4474900	2853000	2881800	3486400	3056900	2004600	3439900	3650300	2742600	3798500	1108700	821500	916660	980190	805080	676720	733150	1176000	843820	793680	367870000	1544700000	898010000
R4GMR5;V9HW09;P48556;K7EJR3;Q5U0B3;B4E2Y4;K7EJC1;K7ERW6;K7ENY6	R4GMR5;V9HW09;P48556;K7EJR3;Q5U0B3;B4E2Y4;K7EJC1	26S proteasome non-ATPase regulatory subunit 8	PSMD8;HEL-S-91n	580930	465900	280340	390340	261850	206670	635430	459540	460990	490400	1668600	1822700	1344200	1716200	1439100	851390	1298700	1810000	1179800	1873400	781950	546960	548850	439010	740730	509840	605040	518850	525700	855210	501590000	1387700000	482510000
F5H5V4;F5GX23;J3KN29;O00233;F5H7X1;F5H169	F5H5V4;F5GX23;J3KN29;O00233;F5H7X1;F5H169	26S proteasome non-ATPase regulatory subunit 9	PSMD9	454040	356660	252070	314180	309190	205140	487800	459370	308270	356210	393270	265310	308370	330050	287310	235230	431060	397740	210470	415120	538190	394290	439520	435550	325870	340950	279080	485600	361690	458500	334930000	457600000	318510000
Q13442;F8WBW6	Q13442	28 kDa heat- and acid-stable phosphoprotein	PDAP1	1935100	1411400	842340	1183400	1036700	630680	1667400	1443800	1456900	1727000	5455400	3084100	4559500	4268700	3508200	2908300	3822000	3380800	2298000	3689600	3288200	2193300	2451900	2287700	1579600	1612100	1693200	2307200	1882300	1824900	1693900000	3917900000	1898300000
